Owner,Country.of.Origin,Region,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Variety.Simplified,Bag.Weight.Kg
juan luis alvarado romero,Guatemala,oriente,250,69 kg,Asociacion Nacional Del Café,2013,2013-07-16,Bourbon,Washed,7.5,7.42,7.58,7.5,7.5,7.58,10.0,10.0,10.0,7.25,82.33,0.12,2,0.0,green,1,1310.64,1310.64,1310.64,Foundational/Mutation,69.0
alfredo bojalil,Mexico,"la concordia, chiapas",250,1 kg,AMECAFE,2013,2013-03-15,Typica,Washed,7.67,7.5,7.42,7.5,7.42,7.42,10.0,10.0,10.0,7.42,82.33,0.12,0,0.0,green,3,1300.0,1300.0,1300.0,Foundational/Mutation,1.0
juan luis alvarado romero,Guatemala,jalapa,275,69 kg,Asociacion Nacional Del Café,2012,2012-10-05,Bourbon,Washed,7.67,7.5,7.33,7.67,7.5,7.33,10.0,10.0,10.0,7.33,82.33,0.11,0,0.0,green,3,1676.4,1828.8,1752.6,Foundational/Mutation,69.0
saul m. hernandez ramirez,Mexico,"jaltocan, hidalgo",10,1 kg,AMECAFE,2012,2012-09-27,Typica,Natural,7.58,7.67,7.58,7.33,7.0,7.58,10.0,10.0,10.0,7.58,82.33,0.15,1,0.0,green,8,441.0,441.0,441.0,Foundational/Mutation,1.0
manuel herrera juarez,Mexico,veracruz,10,1 kg,AMECAFE,2012,2012-08-31,Bourbon,Washed,7.67,7.58,7.5,7.58,7.5,7.5,10.0,10.0,10.0,7.0,82.33,0.13,0,0.0,green,9,1170.0,1170.0,1170.0,Foundational/Mutation,1.0
juan luis alvarado romero,Guatemala,oriente,250,1 kg,Asociacion Nacional Del Café,2012,2012-05-23,Bourbon,Washed,7.5,7.67,7.33,7.5,7.33,7.5,10.0,10.0,10.0,7.5,82.33,0.1,2,0.0,green,5,1310.64,1310.64,1310.64,Foundational/Mutation,1.0
nucoffee,Brazil,grama valley,16,60 kg,NUCOFFEE,2012,2012-04-11,Mundo Novo,Natural,7.58,7.5,7.42,7.5,7.5,7.42,10.0,10.0,10.0,7.42,82.33,0.12,0,0.0,green,2,1100.0,1100.0,1100.0,Hybrid,60.0
maria luisa del carmen rojas narvaez,Mexico,santa catarina juquila,10,1 kg,AMECAFE,2012,2012-03-05,Typica,Washed,8.0,7.75,7.33,7.33,7.08,7.67,9.33,10.0,10.0,7.83,82.33,0.11,0,0.0,green,0,1200.0,1400.0,1300.0,Foundational/Mutation,1.0
nucoffee,Brazil,south of minas,44,60 kg,NUCOFFEE,2012,2012-02-17,Mundo Novo,Washed,7.58,7.58,7.25,7.58,7.42,7.5,10.0,10.0,10.0,7.42,82.33,0.11,0,0.0,green,2,950.0,950.0,950.0,Hybrid,60.0
klem organics,Brazil,brazil matas de minas,1062,5 kg,Specialty Coffee Association,2012,2017-11-15,Catuai,Washed,7.58,7.5,7.25,7.42,7.67,7.33,10.0,10.0,10.0,7.5,82.25,0.09,2,6.0,green,10,1100.0,1100.0,1100.0,Hybrid,5.0
